datetime,wind_generation_mw,u10,v10,u100,v100,ws10,ws100,wd10,wd100,temperature_c,surface_pressure_hpa
2019-04-01 00:00:00,746.888,1.077047,0.5185918,1.7006243,0.8009003,4.2456408,6.4810467,191.77762,192.99496,18.952839,923.7388
2019-04-01 01:00:00,937.058,1.0926841,0.63380456,1.710622,1.0247985,4.2670484,6.5206165,186.48752,189.66277,18.824337,923.65607
2019-04-01 02:00:00,982.304,1.1306479,0.74067324,1.7033421,1.2242609,4.320232,6.596758,191.19408,190.05907,17.926735,923.5969
2019-04-01 03:00:00,980.428,1.1776998,0.81291246,1.721221,1.3613436,4.3442516,6.616376,192.53001,191.6247,17.968988,923.7689
2019-04-01 04:00:00,1035.222,1.2140756,0.9109516,1.6742096,1.5146577,4.3651953,6.578378,194.6975,193.18776,17.87352,924.22546
2019-04-01 05:00:00,949.674,1.2794107,0.98516357,1.6976568,1.6516875,4.444811,6.5356083,192.95078,192.92307,18.52126,924.7261
2019-04-01 06:00:00,840.881,1.4105024,1.2536494,1.729424,1.7349187,4.7085137,6.244938,194.92986,194.22925,19.25758,925.3358
2019-04-01 07:00:00,756.842,1.5481312,1.6896281,1.9022859,2.0395277,5.1062403,6.308416,200.33545,200.03864,19.701397,925.84534
2019-04-01 08:00:00,771.938,1.6329539,2.0342078,2.0209153,2.4106026,5.256766,6.381634,197.36815,197.6143,23.030254,925.99274
2019-04-01 09:00:00,838.436,1.7517797,2.320417,2.1691716,2.7434282,5.251038,6.3237696,195.5812,196.21274,23.392775,925.93176
2019-04-01 10:00:00,878.543,1.9461819,2.3370237,2.3848798,2.7781587,4.934934,5.9257874,201.08958,201.93958,25.31462,925.5644
2019-04-01 11:00:00,1002.292,2.0250888,2.6714933,2.459623,3.1774855,4.9738097,5.9620104,208.53041,209.73203,25.545359,925.10815
2019-04-01 12:00:00,1012.344,2.014122,2.960472,2.4249833,3.5301983,4.980099,5.9670653,210.997,212.47774,25.61383,924.49023
2019-04-01 13:00:00,1000.454,1.8940532,3.2816799,2.2604673,3.9227707,5.023805,6.02236,206.81339,208.41379,25.681484,924.4132
2019-04-01 14:00:00,966.075,1.6268382,3.5581572,1.9203063,4.277505,5.0291266,6.059238,198.257,198.5391,25.115646,924.2812
2019-04-01 15:00:00,994.967,1.2481436,3.7609189,1.4540803,4.5894837,5.034262,6.173619,191.44887,191.72482,24.731726,924.3079
2019-04-01 16:00:00,1087.136,0.74295795,3.8315394,0.842059,4.9019837,4.917732,6.4429364,182.69505,182.80664,24.506525,924.6955
2019-04-01 17:00:00,1207.124,0.29323328,3.7694597,0.16266,5.1896152,4.827844,6.8317847,175.44124,175.29303,21.29291,925.2045
2019-04-01 18:00:00,1215.695,-0.12979767,3.759418,-0.536115,5.307127,4.8571033,7.0990577,167.26636,167.65306,20.858461,925.9273
2019-04-01 19:00:00,1136.454,-0.51970387,3.6633132,-1.1866417,5.2183003,4.8369203,7.2133408,161.84436,162.1755,20.6925,926.5319
2019-04-01 20:00:00,1124.696,-0.8479301,3.4873896,-1.7233828,4.97008,4.741431,7.1605434,157.04794,156.84592,18.829395,926.87317
2019-04-01 21:00:00,1118.57,-1.0911372,3.3016202,-2.1249309,4.681401,4.62644,7.019151,153.38028,152.00645,18.299738,926.99835
2019-04-01 22:00:00,1059.355,-1.1449684,2.8314571,-2.2099545,4.0045238,4.215912,6.4221697,151.42456,150.8451,17.052313,927.25757
2019-04-01 23:00:00,910.096,-1.31536,2.6897063,-2.5154934,3.762258,4.1665792,6.3708444,149.19633,147.78178,16.951368,927.1121
2019-04-02 00:00:00,772.061,-1.465581,2.5594697,-2.7758822,3.5034645,4.123754,6.3236475,145.4878,143.52956,16.718317,926.8302
2019-04-02 01:00:00,745.489,-1.625338,2.446714,-3.0348785,3.2586136,4.1095014,6.305043,141.79417,139.46808,16.557642,926.58813
2019-04-02 02:00:00,653.005,-1.8042333,2.3023455,-3.283859,2.9716628,4.094133,6.2545342,137.50775,134.0325,15.634115,926.49493
2019-04-02 03:00:00,659.408,-2.0164957,2.110696,-3.5683663,2.6311402,4.079452,6.232601,132.43788,128.40549,15.673931,926.80475
2019-04-02 04:00:00,661.788,-2.2288256,1.858491,-3.855523,2.221701,4.0602202,6.21137,127.208435,122.37871,15.58869,927.1127
2019-04-02 05:00:00,630.395,-2.4388711,1.5767854,-4.067139,1.7590101,4.082287,6.151192,121.96902,116.80722,16.613548,927.6741
2019-04-02 06:00:00,606.308,-2.739099,1.2249898,-4.042763,1.272093,4.2429094,5.9275436,115.44612,110.979805,17.327108,928.0548
