model,horizon_hours,lookback_hours,RMSE,MAE,sMAPE,MASE
GRU,1,24,234.7629371568124,184.33532263189366,16.101863216878726,0.48537382216338837
LSTM,1,24,318.4498486022676,252.7787962661486,21.56502159142371,0.6655925123508195
TCN,1,24,343.3682724965233,276.1733874950418,23.71792014804136,0.7271928719595607
Naive_t-24,1,24,740.8545768691316,586.5281465259178,46.841597372961566,1.5443888030846475
GRU,3,24,330.47673839438454,262.92798111067214,22.463321144379144,0.6923205556319582
LSTM,3,24,385.097466510282,306.7353104918693,26.029455585621967,0.8076704491268487
TCN,3,24,413.2357000484515,334.50229883135614,28.201223740015813,0.880784222389832
Naive_t-24,3,24,780.00299148626,624.1374184654167,49.427054510608244,1.6434278410284204
GRU,6,24,428.302000611774,343.87016284360476,28.81706009510693,0.9054675036634965
LSTM,6,24,483.75662128719955,388.849520942319,32.29036264728729,1.0239056570561547
TCN,6,24,490.63342760202863,398.4548495449453,32.86640966173404,1.0491980896410757
Naive_t-24,6,24,849.039795929841,689.0806902473611,53.8879020014511,1.8144644108153423
GRU,12,24,540.6896677682049,438.8927923848435,35.84911204137017,1.1556885447299072
TCN,12,24,589.2642122274028,475.98927767126463,37.69904038475795,1.2533706753985423
LSTM,12,24,612.6181102166571,495.82050021052186,40.6117301014004,1.3055900718303544
Naive_t-24,12,24,926.3351162821293,759.2581652749329,58.74653138295103,1.9992717568519096
GRU,24,24,608.5957306900075,481.55750258319017,38.565039708764324,1.2678369593839585
TCN,24,24,641.6038893763796,512.4148686050696,40.26617877216178,1.3490777435102925
LSTM,24,24,645.5686312885314,511.29031653234,40.71745359875287,1.3461170406390668
Naive_t-24,24,24,857.4055779454555,691.0590653852214,53.53518186410617,1.8194093530115074
