model,horizon_hours,lookback_hours,RMSE,MAE,MASE,sMAPE
GRU,1,24,207.9681168217655,161.1092168986163,0.4242171021556663,13.85580232519107
LSTM,1,24,315.562213224622,247.07633244817774,0.6505773398946749,20.669465377847605
TCN,1,24,344.918728223208,272.45097517021185,0.7173913782904454,24.0512007835126
Naive_t-24,1,24,728.7363465207766,576.6907565779109,1.5184859457754665,46.197671811510965
GRU,3,24,315.97250527279584,249.0495087144394,0.6557768919256663,21.133699392455892
LSTM,3,24,400.1874970162555,314.7770860533389,0.8288453978769426,26.394991600512046
TCN,3,24,410.61652213905006,329.13885233881285,0.8666616317087859,28.108607885075525
Naive_t-24,3,24,728.4339930924473,576.3849453285017,1.5176899161590491,46.16425084027173
GRU,6,24,427.8561314857118,342.37832393010484,0.9015392429336198,28.897574736569176
TCN,6,24,498.1409228216664,401.56043929191594,1.0573756255236273,33.36550016677478
LSTM,6,24,499.6969274727935,396.8232179922678,1.044901731571843,32.74472913795207
Naive_t-24,6,24,728.2708184182478,576.1003726169844,1.516968386961673,46.136118855173365
GRU,12,24,535.1834849862893,436.37418645543045,1.1490565742992804,35.65935436258989
TCN,12,24,581.4387473314998,471.62749470892413,1.2418852678192014,37.9247043633614
LSTM,12,24,600.2775912949764,484.255731906514,1.2751378281770156,39.28798067897022
Naive_t-24,12,24,728.2691688592461,576.0960430124468,1.5169709075329636,46.13272169584221
GRU,24,24,591.8280578491485,478.40899951698856,1.2595476304198137,38.16447324532765
TCN,24,24,631.0445162818843,508.3584011219699,1.3383979402219521,40.611245383329816
LSTM,24,24,640.3908412933247,513.242540335747,1.3512568245229672,41.01534870182709
Naive_t-24,24,24,728.2451037745714,576.0746004411533,1.5166800763849957,46.111107009204474
