horizon_hours,method,picp,mpiw_mw,coverage_error,winkler_score
1,Global split conformal,0.8951,333.99,0.0049,466.29
1,SAFER,0.9067,353.19,0.0067,463.67
1,CQR,0.8431,508.38,0.0569,927.58
1,ACI,0.9008,343.12,0.0008,466.55
3,Global split conformal,0.8869,716.50,0.0131,960.33
3,SAFER,0.8984,751.66,0.0016,953.35
3,CQR,0.8303,1008.27,0.0697,1600.39
3,ACI,0.9009,748.34,0.0009,957.88
6,Global split conformal,0.8770,1042.08,0.0230,1383.15
6,SAFER,0.8869,1089.61,0.0131,1380.96
6,CQR,0.8158,1416.09,0.0842,2231.70
6,ACI,0.9014,1110.45,0.0014,1368.72
12,Global split conformal,0.8014,1421.47,0.0986,2439.03
12,SAFER,0.8140,1459.15,0.0860,2361.34
12,CQR,0.8136,1682.76,0.0864,2649.94
12,ACI,0.8992,1704.35,0.0008,2089.59
24,Global split conformal,0.8508,1621.71,0.0492,2229.74
24,SAFER,0.8537,1649.05,0.0463,2231.09
24,CQR,0.8193,1804.03,0.0807,2900.91
24,ACI,0.9020,1769.03,0.0020,2096.79
