method_clean,season,intraday_block,PICP,n_obs,coverage_error
Global conformal,Autumn,"Afternoon
12:00--17:00",0.847457627118644,59,0.05254237288135599
Global conformal,Autumn,"Evening
18:00--23:00",0.95,60,0.04999999999999993
Global conformal,Autumn,"Morning
06:00--11:00",0.7962962962962963,54,0.10370370370370374
Global conformal,Autumn,"Night
00:00--05:00",0.9074074074074074,54,0.007407407407407418
Global conformal,Spring,"Afternoon
12:00--17:00",0.8571428571428571,546,0.04285714285714293
Global conformal,Spring,"Evening
18:00--23:00",0.8791208791208791,546,0.020879120879120916
Global conformal,Spring,"Morning
06:00--11:00",0.8571428571428571,546,0.04285714285714293
Global conformal,Spring,"Night
00:00--05:00",0.8846153846153846,546,0.015384615384615441
Global conformal,Summer,"Afternoon
12:00--17:00",0.8518518518518519,432,0.04814814814814816
Global conformal,Summer,"Evening
18:00--23:00",0.8819444444444444,432,0.018055555555555602
Global conformal,Summer,"Morning
06:00--11:00",0.8518518518518519,432,0.04814814814814816
Global conformal,Summer,"Night
00:00--05:00",0.8981481481481481,432,0.0018518518518518823
Global conformal,Winter,"Afternoon
12:00--17:00",0.8442028985507246,552,0.05579710144927541
Global conformal,Winter,"Evening
18:00--23:00",0.8913043478260869,552,0.008695652173913104
Global conformal,Winter,"Morning
06:00--11:00",0.8007246376811594,552,0.0992753623188406
Global conformal,Winter,"Night
00:00--05:00",0.9365942028985508,552,0.036594202898550754
SAFER-Wind adaptive,Autumn,"Afternoon
12:00--17:00",0.6949152542372882,59,0.20508474576271185
SAFER-Wind adaptive,Autumn,"Evening
18:00--23:00",0.9333333333333333,60,0.033333333333333326
SAFER-Wind adaptive,Autumn,"Morning
06:00--11:00",0.7222222222222222,54,0.1777777777777778
SAFER-Wind adaptive,Autumn,"Night
00:00--05:00",0.8703703703703703,54,0.029629629629629672
SAFER-Wind adaptive,Spring,"Afternoon
12:00--17:00",0.8809523809523809,546,0.01904761904761909
SAFER-Wind adaptive,Spring,"Evening
18:00--23:00",0.86996336996337,546,0.03003663003663004
SAFER-Wind adaptive,Spring,"Morning
06:00--11:00",0.9468864468864469,546,0.04688644688644683
SAFER-Wind adaptive,Spring,"Night
00:00--05:00",0.9120879120879121,546,0.012087912087912045
SAFER-Wind adaptive,Summer,"Afternoon
12:00--17:00",0.8518518518518519,432,0.04814814814814816
SAFER-Wind adaptive,Summer,"Evening
18:00--23:00",0.8819444444444444,432,0.018055555555555602
SAFER-Wind adaptive,Summer,"Morning
06:00--11:00",0.8518518518518519,432,0.04814814814814816
SAFER-Wind adaptive,Summer,"Night
00:00--05:00",0.8981481481481481,432,0.0018518518518518823
SAFER-Wind adaptive,Winter,"Afternoon
12:00--17:00",0.8894927536231884,552,0.010507246376811663
SAFER-Wind adaptive,Winter,"Evening
18:00--23:00",0.9257246376811594,552,0.0257246376811594
SAFER-Wind adaptive,Winter,"Morning
06:00--11:00",0.8713768115942029,552,0.02862318840579714
SAFER-Wind adaptive,Winter,"Night
00:00--05:00",0.9528985507246377,552,0.05289855072463767
